store_name,store_format,address,opening_hours,latitude,longitude,in_baku_study_bbox,google_maps_url,source_url,collected_at_utc
Bravo Khan Shushinski st.,Express,Khan Shushinski street,07:00 - 00:00,40.398853,49.836044,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.398853,49.836044&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Gulustan Residence,Express,Bulbul avenue 60,07:00-02:00,40.380642,49.841648,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.380642,49.841648&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Jalil Mammadguluzade st.,Express,Jalil Mammadguluzade street 988,07:00 - 23:00,40.395691,49.829384,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.395691,49.829384&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo İbrahimpasha Dadashov st.,Express,İbrahimpasha Dadashov street 57,07:00 - 23:00,40.411991,49.843002,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.411991,49.843002&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo A.M.Sharifzade st. 301,Express,Abbas Mirza Sharifzade street 301A,07:00 - 23:00,40.391216,49.802288,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.391216,49.802288&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Hazi Aslanov m/s,Express,Mahammad Hadi street 76,07:00 - 02:00,40.373547,49.953789,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.373547,49.953789&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Huseyn Javid av.,Express,Huseyn Javid avenue 55,07:00 - 00:00,40.377781,49.81575,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.377781,49.81575&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo White City residence,Express,Khagani Rustamov street 23,07:00 - 23:00,40.382687,49.880829,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.382687,49.880829&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Zarifa Aliyeva st.,Express,Zarifa Aliyeva avenue 55,07:00 - 00:00,40.375481,49.857346,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.375481,49.857346&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Nasib bey Yusifbayli st.,Express,Nasib bay Yusifbayli street 74,07:00 - 00:00,40.398125,49.840244,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.398125,49.840244&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Zumrud Residence,Express,Alasgar Huseynov street 5,08:00 - 23:00,40.397938,49.862251,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.397938,49.862251&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Mehdi Huseynzade st.,Express,"Khirdalan city, Mehdi Huseynzade street 26",07:00 - 00:00,40.459766,49.744411,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.459766,49.744411&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Uzbekistan st.,Express,"Nizami region, Mehdi Abbasov street 15A",07:00 - 23:00,40.414879,49.927147,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.414879,49.927147&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Agha Nematulla st.,Express,Agha Nematulla street 209,07:00 - 02:00,40.407623,49.86845,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.407623,49.86845&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
"Bravo ""Qurtuluş"" residence -1",Express,"Masazır settlement, İstiglaliyyat street",07:00 - 23:00,40.49086,49.754726,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.49086,49.754726&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Said Rustamov st.,Express,"Sabail region, Hasan Abdullayev street",07:00 - 00:00,40.368454,49.82917,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.368454,49.82917&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Hovsan,Express,"Hovsan settlement, Ilgar Ahlimanov street 159D",07:00 - 23:00,40.360592,50.078354,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.360592,50.078354&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Khirdalan -2,Express,"Khirdalan city, Heydar Aliyev avenue 240",08:00 - 02:00,40.45578,49.736412,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.45578,49.736412&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Uzeyir Hajibeyov st.,Express,"Sabail region, Samad Vurghun street 3",24/7,40.371468,49.842682,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.371468,49.842682&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Ahmedli m/s,Express,"Khatai region, Mahammad Hadi street 182",07:00-02:00,40.385784,49.953472,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.385784,49.953472&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
